Portal,Órgão ou Entidade,Noticias
https://www.gov.br/conitec/pt-br,Ministério da Saúde,https://www.gov.br/conitec/pt-br/assuntos/noticias
https://www.gov.br/conselho-nacional-de-saude/pt-br,Ministério da Saúde,https://www.gov.br/conselho-nacional-de-saude/pt-br/assuntos/noticias
https://www.gov.br/corregedorias/pt-br,Controladoria-Geral da União,https://www.gov.br/corregedorias/pt-br/aconteceu-aqui/noticias
https://www.gov.br/crcnne/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/crcnne/pt-br/assuntos/noticias
https://www.gov.br/ctav/pt-br,Ministério do Turismo,https://www.gov.br/ctav/pt-br/noticias
https://www.gov.br/cti/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/cti/pt-br/assuntos/noticias
https://www.gov.br/ctir/pt-br,Gabinete de Segurança Institucional,https://www.gov.br/ctir/pt-br/assuntos/noticias
https://www.gov.br/cultura/pt-br,Ministério da Cultura,https://www.gov.br/cultura/pt-br/assuntos/noticias
https://www.gov.br/culturaviva/pt-br,Ministério da Cultura,https://www.gov.br/culturaviva/pt-br/acesso-a-informacao/noticias
https://www.gov.br/cvm/pt-br,Comissão de Valores Mobiliários,https://www.gov.br/cvm/pt-br/assuntos/noticias
https://www.gov.br/defesa/pt-br,Ministério da Defesa,https://www.gov.br/defesa/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/dnit/pt-br,Ministério dos Transportes,https://www.gov.br/dnit/pt-br/assuntos/noticias/
https://www.gov.br/dnocs/pt-br,Ministério da Integração e do Desenvolvimento Regional,https://www.gov.br/dnocs/pt-br/assuntos/noticias
https://www.gov.br/ebserh/pt-br,Empresa Brasileira de Serviços Hospitalares,https://www.gov.br/ebserh/pt-br/comunicacao/noticias
https://www.gov.br/empresas-e-negocios/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/empresas-e-negocios/pt-br/empreendedor/mais-noticias
https://www.gov.br/esd/pt-br,Ministério da Defesa,https://www.gov.br/esd/pt-br/central-de-conteudo/noticias
https://www.gov.br/esg/pt-br,Ministério da Defesa,https://www.gov.br/esg/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/esocial/pt-br,Ministério do Trabalho e Emprego,https://www.gov.br/esocial/pt-br/noticias
https://www.gov.br/esporte/pt-br,Ministério do Esporte,https://www.gov.br/esporte/pt-br/noticias-e-conteudos/esporte
https://www.gov.br/fazenda/pt-br,Ministério da Fazenda,https://www.gov.br/fazenda/pt-br/assuntos/noticias
https://www.gov.br/florestal/pt-br,Ministério do Meio Ambiente e Mudança do Clima,https://www.gov.br/florestal/pt-br/assuntos/noticias
https://www.gov.br/fnde/pt-br,Ministério da Educação,https://www.gov.br/fnde/pt-br/assuntos/noticias
https://www.gov.br/funag/pt-br,Ministério das Relações Exteriores,https://www.gov.br/funag/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/funai/pt-br,Ministério dos Povos Indígenas,https://www.gov.br/funai/pt-br/assuntos/noticias
https://www.gov.br/funarte/pt-br,Ministério da Cultura,https://www.gov.br/funarte/pt-br/assuntos/noticias
https://www.gov.br/fundacentro/pt-br,Ministério do Trabalho e Emprego,https://www.gov.br/fundacentro/pt-br/comunicacao/noticias
https://www.gov.br/fundaj/pt-br,Ministério da Educação,https://www.gov.br/fundaj/pt-br/centrais-de-conteudo/noticias-1
https://www.gov.br/gestao/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/gestao/pt-br/assuntos/noticias
https://www.gov.br/governodigital/pt-br,Secretaria de Governo Digital,https://www.gov.br/governodigital/pt-br/noticias
https://www.gov.br/gsi/pt-br,Gabinete de Segurança Institucional,https://www.gov.br/pt-br/noticias
https://www.gov.br/hfa/pt-br,Ministério da Defesa,https://www.gov.br/hfa/pt-br/noticias?b_start:int=0
https://www.gov.br/ibama/pt-br,Ministério do Meio Ambiente e Mudança do Clima,https://www.gov.br/ibama/pt-br/assuntos/noticias
https://www.gov.br/ibc/pt-br,Ministério da Educação,https://www.gov.br/ibc/pt-br/assuntos/noticias
https://www.gov.br/ibict/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/ibict/pt-br/fique-por-dentro/noticias
https://www.gov.br/icmbio/pt-br,Ministério do Meio Ambiente e Mudança do Clima,https://www.gov.br/icmbio/pt-br/assuntos/noticias
https://www.gov.br/iec/pt-br,Ministério da Saúde,https://www.gov.br/iec/pt-br/assuntos/noticias
https://www.gov.br/ien/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/ien/pt-br/assuntos/noticias
https://www.gov.br/igualdaderacial/pt-br,Ministério da Igualdade Racial,https://www.gov.br/igualdaderacial/pt-br/assuntos/copy2_of_noticias
https://www.gov.br/imprensanacional/pt-br,Casa Civil da Presidência da República,https://www.gov.br/imprensanacional/pt-br/assuntos/noticias
https://www.gov.br/inca/pt-br,Ministério da Saúde,https://www.gov.br/inca/pt-br/assuntos/noticias
https://www.gov.br/incra/pt-br,Ministério do Desenvolvimento Agrário e Agricultura Familiar,https://www.gov.br/incra/pt-br/assuntos/noticias
https://www.gov.br/inep/pt-br,Ministério da Educação,https://www.gov.br/inep/pt-br/centrais-de-conteudo/noticias
https://www.gov.br/ines/pt-br,Ministério da Educação,https://www.gov.br/ines/pt-br/central-de-conteudos/noticias
https://www.gov.br/inma/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/inma/pt-br/assuntos/noticias
https://www.gov.br/inmetro/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/inmetro/pt-br/centrais-de-conteudo/noticias/banco-de-noticias
https://www.gov.br/inpa/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/inpa/pt-br/assuntos/noticias
https://www.gov.br/inpe/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/inpe/pt-br/assuntos/ultimas-noticias
https://www.gov.br/inpi/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/inpi/pt-br/central-de-conteudo/noticias
https://www.gov.br/inpp/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/inpp/pt-br/noticias
https://www.gov.br/insa/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/insa/pt-br/assuntos/noticias
https://www.gov.br/inss/pt-br,Ministério da Previdência Social,https://www.gov.br/inss/pt-br/noticias
https://www.gov.br/int/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/int/pt-br/assuntos/noticias
https://www.gov.br/investidor/pt-br,Comissão de Valores Mobiliários,https://www.gov.br/pt-br/noticias
https://www.gov.br/iphan/pt-br,Ministério da Cultura,https://www.gov.br/iphan/pt-br/assuntos/noticias
https://www.gov.br/ird/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/ird/pt-br/assuntos/noticias
https://www.gov.br/iti/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/iti/pt-br/assuntos/noticias
https://www.gov.br/jbrj/pt-br,Ministério do Meio Ambiente e Mudança do Clima,https://www.gov.br/jbrj/pt-br/assuntos/noticias
https://www.gov.br/lapoc/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/lapoc/pt-br/assuntos/noticias
https://www.gov.br/lna/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/lna/pt-br/assuntos/noticias
https://www.gov.br/lncc/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/lncc/pt-br/assuntos/noticias
https://www.gov.br/mast/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/mast/pt-br/assuntos/noticias
https://www.gov.br/mcom/pt-br,Ministério das Comunicações,https://www.gov.br/mcom/pt-br/noticias
https://www.gov.br/mcti/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/mcti/pt-br/acompanhe-o-mcti/noticias
https://www.gov.br/mda/pt-br,Ministério do Desenvolvimento Agrário e Agricultura Familiar,https://www.gov.br/mda/pt-br/noticias
https://www.gov.br/mdh/pt-br,Ministério dos Direitos Humanos e da Cidadania,https://www.gov.br/mdh/pt-br/assuntos/noticias
https://www.gov.br/mdic/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/mdic/pt-br/assuntos/noticias
https://www.gov.br/mdr/pt-br,Ministério da Integração e do Desenvolvimento Regional,https://www.gov.br/mdr/pt-br/noticias
https://www.gov.br/mds/pt-br,"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome",https://www.gov.br/mds/pt-br/noticias-e-conteudos/noticias
https://www.gov.br/mec/pt-br,Ministério da Educação,https://www.gov.br/mec/pt-br/assuntos/noticias
https://www.gov.br/memoriasreveladas/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/pt-br/noticias
https://www.gov.br/memp/pt-br,"Ministério do Empreendedorismo, da Microempresa e da Empresa de Pequeno Porte",https://www.gov.br/memp/pt-br/assuntos/noticias
https://www.gov.br/mj/pt-br,Ministério da Justiça e Segurança Pública,https://www.gov.br/mj/pt-br/assuntos/noticias
https://www.gov.br/mma/pt-br,Ministério do Meio Ambiente e Mudança do Clima,https://www.gov.br/mma/pt-br/assuntos/noticias
https://www.gov.br/mme/pt-br,Ministério de Minas e Energia,https://www.gov.br/mme/pt-br/assuntos/noticias
https://www.gov.br/mpa/pt-br,Ministério da Pesca e Aquicultura,https://www.gov.br/mpa/pt-br/assuntos/noticias
https://www.gov.br/mre/pt-br,Ministério das Relações Exteriores,https://www.gov.br/mre/pt-br/assuntos/portal-consular/alertas%20e%20noticias
https://www.gov.br/mulheres/pt-br,Ministério das Mulheres0,https://www.gov.br/mulheres/pt-br/central-de-conteudos/noticias
https://www.gov.br/museudoindio/pt-br,Ministério dos Povos Indígenas,https://www.gov.br/museudoindio/pt-br/assuntos/noticias
https://www.gov.br/museugoeldi/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/museugoeldi/pt-br/arquivos/noticias
https://www.gov.br/museus/pt-br,Ministério da Cultura,https://www.gov.br/museus/pt-br/assuntos/noticias
https://www.gov.br/nfse/pt-br,Receita Federal,https://www.gov.br/nfse/pt-br/noticias
https://www.gov.br/nuclep/pt-br,Ministério de Minas e Energia,
https://www.gov.br/observatorio/pt-br,"Ministério da Ciência, Tecnologia e Inovação",https://www.gov.br/observatorio/pt-br/assuntos/noticias
https://www.gov.br/ouvidorias/pt-br,Controladoria-Geral da União,https://www.gov.br/ouvidorias/pt-br/assuntos/noticias
https://www.gov.br/palmares/pt-br,Ministério da Cultura,https://www.gov.br/palmares/pt-br/assuntos/noticias
https://www.gov.br/patrimonio/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/patrimonio/pt-br/central-de-conteudo/noticias
https://www.gov.br/pf/pt-br,Ministério da Justiça e Segurança Pública,https://www.gov.br/pf/pt-br/assuntos/noticias
https://www.gov.br/pgfn/pt-br,Ministério da Fazenda,https://www.gov.br/pgfn/pt-br/assuntos/noticias
https://www.gov.br/planalto/pt-br,Presidência da República,https://www.gov.br/planalto/pt-br/acompanhe-o-planalto/noticias
https://www.gov.br/planejamento/pt-br,Ministério do Planejamento e Orçamento,https://www.gov.br/planejamento/pt-br/assuntos/noticias
https://www.gov.br/plataformamaisbrasil/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/transferegov/pt-br/noticias/noticias
https://www.gov.br/pncp/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/pncp/pt-br/central-de-conteudo/noticias
https://www.gov.br/portos-e-aeroportos/pt-br,Ministério de Portos e Aeroportos,https://www.gov.br/portos-e-aeroportos/pt-br/assuntos/noticias
https://www.gov.br/povosindigenas/pt-br,Ministério dos Povos Indígenas,https://www.gov.br/povosindigenas/pt-br/assuntos/noticias
https://www.gov.br/previc/pt-br,Ministério da Previdência Social,https://www.gov.br/previc/pt-br/noticias
https://www.gov.br/previdencia/pt-br,Ministério da Previdência Social,https://www.gov.br/previdencia/pt-br/noticias
https://www.gov.br/prf/pt-br,Ministério da Justiça e Segurança Pública,https://www.gov.br/prf/pt-br/noticias
https://www.gov.br/produtividade-e-comercio-exterior/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/pt-br/noticias
https://www.gov.br/propriedade-intelectual/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/propriedade-intelectual/pt-br/assuntos/noticias
https://www.gov.br/receitafederal/pt-br,Receita Federal,https://www.gov.br/receitafederal/pt-br/assuntos/noticias
https://www.gov.br/reconstrucaors/pt-br,Secretaria para Apoio à Reconstrução do Rio Grande do Sul,https://www.gov.br/reconstrucaors/pt-br/acompanhe-a-reconstrucao/noticias
https://www.gov.br/saude/pt-br,Ministério da Saúde,https://www.gov.br/saude/pt-br/assuntos/noticias
https://www.gov.br/secom/pt-br,Secretaria de Comunicação Social,https://www.gov.br/secom/pt-br/assuntos/noticias
https://www.gov.br/secretariageral/pt-br,Secretaria-Geral da Presidência da República ,https://www.gov.br/secretariageral/pt-br/noticias
https://www.gov.br/semanaenef/pt-br,Comissão de Valores Mobiliários,https://www.gov.br/semanaenef/pt-br/noticias
https://www.gov.br/senappen/pt-br,Ministério da Justiça e Segurança Pública,https://www.gov.br/senappen/pt-br/assuntos/noticias
https://www.gov.br/servicoscompartilhados/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/servicoscompartilhados/pt-br/acesso-a-informacao/noticias
https://www.gov.br/servidor/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/servidor/pt-br/assuntos/noticias
https://www.gov.br/siscomex/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/siscomex/pt-br/noticias
https://www.gov.br/sri/pt-br,Secretaria de Relações Institucionais,https://www.gov.br/sri/pt-br/cdess/noticias-cdess/mais-noticias
https://www.gov.br/sudam/pt-br,Ministério da Integração e do Desenvolvimento Regional,https://www.gov.br/sudam/pt-br/noticias-1
https://www.gov.br/sudeco/pt-br,Ministério da Integração e do Desenvolvimento Regional,https://www.gov.br/sudeco/pt-br/assuntos/noticias
https://www.gov.br/sudene/pt-br,Ministério da Integração e do Desenvolvimento Regional,https://www.gov.br/sudene/pt-br/assuntos/noticias
https://www.gov.br/suframa/pt-br,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços",https://www.gov.br/suframa/pt-br/assuntos/noticias
https://www.gov.br/susep/pt-br,Ministério da Fazenda,https://www.gov.br/susep/pt-br/central-de-conteudos/noticias
https://www.gov.br/tesouronacional/pt-br,Ministério da Fazenda,https://www.gov.br/tesouronacional/pt-br/noticias
https://www.gov.br/trabalho-e-emprego/pt-br,Ministério do Trabalho e Emprego,https://www.gov.br/trabalho-e-emprego/pt-br/assuntos/onmt/noticias
https://www.gov.br/transferegov/pt-br,Ministério da Gestão e da Inovação em Serviços Públicos,https://www.gov.br/transferegov/pt-br/noticias/noticias
https://www.gov.br/transportes/pt-br,Ministério dos Transportes,https://www.gov.br/transportes/pt-br/assuntos/noticias
https://www.gov.br/turismo/pt-br,Ministério do Turismo,https://www.gov.br/turismo/pt-br/assuntos/noticias
